WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
04102+1722, HEI 35          ,HIP 19472   ,  62.5599,  17.3679, 2019.8569 , I  2,    322.3,   0.1,   0.3937,   0.1,     1.1, q,      0.9    0.033 FMR2011d
04108-4200, HDS 530         ,HIP 19515   ,  62.7119, -41.9934, 2019.9500 , y  2,    198.5,   0.3,   0.1120,   0.3,     2.2, q,                           
04119+2338, CHR 14 AaAb    ,HIP 19591   ,  62.9848,  23.6361, 2019.9471 , I  2,    217.6,   0.4,   0.1932,   0.4,     1.2, q,     -5.8    0.010 Msn2010a
04136+0743, A 1938          ,HIP 19719   ,  63.3879,   7.7161, 2019.6193 , I  2,    123.1,   0.2,   0.0651,   0.2,     0.0,  ,      0.3   -0.003 Mut2010b
04136+0743, A 1938          ,HIP 19719   ,  63.3882,   7.7161, 2019.9498 , y  2,    139.2,   0.1,   0.0937,   0.1,     0.9, q,     -0.2    0.001 Mut2010b
04142-4608, RST2338         ,HIP 19758   ,  63.5398, -46.1322, 2019.6136 , I  2,    210.0,   0.2,   0.1141,   0.2,     1.2, q,      0.2    0.000 SOAR2019
04152-3712, HDS 540         ,HIP 19836   ,  63.7960, -37.1969, 2019.6190 , I  2,     41.2,   0.6,   0.2936,   0.6,     2.7,  ,                           
04157-5631, UC 1144 AaAb   ,HIP 19869   ,  63.9222, -56.5223, 2019.9470 , I  2,    268.2,   0.2,   0.1934,   0.2,     2.3, q,                           
04163-6057, GLE 1           ,HIP 19917   ,  64.0877, -60.9484, 2019.9496 , I  2,    230.3,   0.3,   0.3909,   0.3,     0.6, q,     -1.7   -0.001 Doc2012k
04167-1233, HDS 544         ,HIP 19948   ,  64.1734, -12.5549, 2019.8571 , I  2,    101.6,   0.2,   3.1128,   0.2,     0.8, ast,                           
04180-3826, HDS 546         ,HIP 20048   ,  64.4932, -38.4289, 2019.1335 , I  2,    278.4,   0.3,   0.0700,   0.3,     0.4, q,      3.6   -0.005 Tok2018b
04180-3826, HDS 546         ,HIP 20048   ,  64.4932, -38.4289, 2019.1335 , y  2,    277.6,   0.6,   0.0680,   0.6,     0.4,  ,      2.8   -0.007 Tok2018b
04180-3826, HDS 546         ,HIP 20048   ,  64.4932, -38.4289, 2019.6136 , I  2,    260.6,   0.3,   0.1056,   0.3,     0.4, q,      2.1   -0.005 Tok2018b
04180-3826, HDS 546         ,HIP 20048   ,  64.4920, -38.4294, 2019.9500 , I  2,    252.8,   0.2,   0.1243,   0.2,     0.4, q,      0.9   -0.004 Tok2018b
04184+1725, PAT 4           ,HIP 20086   ,  64.5920,  17.4215, 2019.8569 , I  2,    300.1,   0.6,   0.3463,   0.6,     2.0,  ,                           
04188-1144, HDS 548         ,HIP 20115   ,  64.6981, -11.7371, 2019.9498 , I  2,    352.8,   0.1,   0.2293,   0.1,     0.7, q,                           
04188-5408, HDS 549         ,HIP 20117   ,  64.7006, -54.1354, 2019.9470 , I  2,     76.9,   0.4,   0.2670,   0.4,     2.9, q,                           
04202-0345, YSC 30          ,HIP 20242   ,  65.0603,  -3.7531, 2019.9498 , I  2,    116.5,   0.7,   0.2208,   0.7,     2.2, q,                           
04202-1030, HDS 556         ,HIP 20236   ,  65.0531, -10.5021, 2019.9498 , I  2,    164.1,   0.7,   0.3379,   0.7,     3.2, q,                           
04205-0119, RST4769         ,HIP 20257   ,  65.1204,  -1.3165, 2019.9498 , y  2,     21.5,   0.1,   0.3289,   0.1,     0.2,  ,      0.6    0.006 Hrt2012a
04211-6139, HDS 557         ,HIP 20317   ,  65.2849, -61.6475, 2019.9496 , I  2,     84.0,   0.1,   0.2623,   0.1,     1.2, q,                           
04215-2055, B 1935 AB       ,HIP 20342   ,  65.3700, -20.9151, 2019.6136 , I  2,     49.9,   0.1,   0.2376,   0.1,     1.0, q,     -2.1   -0.002 Tok2014a
04218-4318, ELP 7           , CD-43 1395  ,  65.4531, -43.2925, 2019.9500 , I  2,    331.4,   0.1,   0.2208,   0.1,     0.1,  ,                           
04237+1131, LSC 30          ,HIP 20511   ,  65.9301,  11.5169, 2019.8569 , y  2,     43.5,   0.5,   0.0492,   0.5,     0.0, :,                           
04237-5351, HU 1368         ,HIP 20504   ,  65.9161, -53.8509, 2019.1335 , I  2,     51.2,   1.0,   2.3025,   1.0,     0.3, ast,                           
04242+1445, HDS 564         ,HIP 20553   ,  66.0524,  14.7584, 2019.9471 , I  2,    230.8,   0.3,   0.5337,   0.3,     2.3, ast,      1.5   -0.001 Zir2008 
04249-3445, DAM1313Aa1Aa2  ,HIP 20613   ,  66.2349, -34.7581, 2019.6190 , y  2,     60.0,   0.5,   0.0593,   0.5,     2.1,  ,                           
04249-3445, DAM1313Aa1Aa2  ,HIP 20613   ,  66.2349, -34.7581, 2019.6190 , I  2,     59.7,   0.6,   0.0637,   0.6,     1.8,  ,                           
04257-0214, BU 403          ,HIP 20673   ,  66.4244,  -2.2324, 2019.1334 , y  2,     82.0,   0.2,   0.8973,   0.2,     2.1, ast,     -0.1    0.002 Izm2019 
04257-0214, BU 403          ,HIP 20673   ,  66.4245,  -2.2324, 2019.6191 , I  2,     82.0,   0.2,   0.8957,   0.2,     1.7, q,      0.0    0.006 Izm2019 
04257-0214, BU 403          ,HIP 20673   ,  66.4245,  -2.2324, 2019.9498 , y  2,     81.7,   0.2,   0.8919,   0.2,     1.9, ast,     -0.2    0.006 Izm2019 
04258+1800, COU2682         ,HIP 20679   ,  66.4484,  18.0172, 2019.7914 , I  2,     64.5,   0.2,   0.1229,   0.2,     0.8, q,      2.7    0.003 Tok2014a
04259+1852, BU 1185         ,HIP 20686   ,  66.4659,  18.8639, 2019.7914 , I  2,    202.9,   0.1,   0.2539,   0.1,     0.8, q,      0.4    0.002 Sod1999 
04268+1052, PAT 8           ,HIP 20751   ,  66.7016,  10.8717, 2019.8569 , I  2,    139.2,   0.3,   0.1536,   0.3,     1.1, q,                           
04274-2912, TOK 709         ,HIP 20802   ,  66.8608, -29.1967, 2019.1336 , I  2,     80.2,   0.7,   0.1652,   0.7,     2.1, q,                           
04274-2912, TOK 709         ,HIP 20802   ,  66.8610, -29.1962, 2019.9500 , I  2,     82.2,   0.8,   0.1688,   0.8,     2.1, q,                           
04287+2613, HDS 576         ,HIP 20895   ,  67.1662,  26.2200, 2019.9471 , I  2,    235.4,   0.1,   0.1239,   0.1,     0.1,  ,      4.5   -0.000 Cve2014 
04293-3124, SIG 4           ,             ,  67.3268, -31.3991, 2019.6136 , I  2,    196.3,   1.7,   0.4984,   1.7,     1.8, :,                           
04301+1814, COR 4 BaBb     ,HIP 20990   ,  67.5149,  18.2305, 2019.9471 , I  2,    101.3,   1.2,   0.0956,   1.2,     0.3,  ,                           
04302+0518, STF 556 AB      ,HIP 21000   ,  67.5526,   5.2992, 2019.7913 , I  1,    288.7,   0.5,   4.4222,   0.5,     0.2, ast,                           
04302+0518, STF 556 AB      ,HIP 21000   ,  67.5526,   5.2992, 2019.7913 , I  1,    288.7,   0.6,   4.4260,   0.6,     0.2, ast,                           
04302-1747, B 1937          , HD 28637    ,  67.5616, -17.7905, 2019.6191 , I  3,    126.2,   0.6,   0.1805,   0.6,     0.5,  ,      0.1    0.002 Tok2019c
04308-5727, HDS 582 AaB    ,HIP 21056   ,  67.7017, -57.4501, 2019.6135 , I  2,    210.1,   0.0,   0.8271,   0.0,     2.6,  ,                           
04308-5727, TOK 429 AaAb   ,HIP 21056   ,  67.7017, -57.4501, 2019.6135 , I  2,    163.0,   0.1,   0.1008,   0.1,     0.1,  ,                           
04312+0157, HDS 585         ,HIP 21092   ,  67.7990,   1.9580, 2019.9497 , I  2,    102.6,   0.2,   0.1442,   0.2,     0.8,  ,     -1.7    0.006 Tok2019c
04314-4227, I 1488 AB       , HD 28903    ,  67.8379, -42.4518, 2019.9500 , I  2,    332.1,   0.1,   0.3542,   0.1,    -0.0,  ,                           
04314-4227, I 1488 AC       , HD 28903    ,  67.8379, -42.4518, 2019.9500 , I  2,    264.5,   0.1,   3.0257,   0.1,     2.2,  ,                           
04318-2407, RST2347         ,HIP 21133   ,  67.9518, -24.1103, 2019.6191 , I  2,    119.8,   0.4,   0.0857,   0.4,     0.3,  ,      0.0   -0.000 SOAR2019
04334-2251, YSC 180         ,HIP 21244   ,  68.3575, -22.8532, 2019.9500 , I  2,    154.2,   0.8,   0.2971,   0.8,     3.1, q,                           
04340+1510, CHR 17          ,HIP 21280   ,  68.4942,  15.1635, 2019.7914 , I  2,    278.9,   0.1,   0.1905,   0.1,     1.1, q,     -0.2    0.002 Cve2008d
04340-5503, B 2092 AB       ,HIP 21281   ,  68.4994, -55.0449, 2019.8594 , y  2,    174.9,   0.0,   0.2407,   0.0,     0.9, q,      2.5   -0.003 Hrt2010a
04344-6612, HDS 595         ,HIP 21305   ,  68.6070, -66.1931, 2019.6138 , I  2,    177.1,   0.7,   0.1113,   0.7,     0.9, q,                           
04347-1138, YSC 32          ,HIP 21329   ,  68.6652, -11.6359, 2019.9498 , I  2,     21.4,   0.5,   0.3462,   0.5,     3.3, q,                           
04357+1010, CHR 18 AaAb    ,HIP 21402   ,  68.9138,  10.1606, 2019.8569 , y  2,    161.2,   0.1,   0.2139,   0.1,     2.1, q,     -0.2    0.003 Lne2007 
04375+1509, CHR 153         ,HIP 21543   ,  69.3837,  15.1465, 2019.9471 , I  2,    135.4,   1.2,   0.6072,   1.2,     2.1, ast,     -0.3   -0.015 Tok2019c
04384+1733, PAT 13          , HD 285947   ,  69.6045,  17.5422, 2019.7914 , I  2,    285.1,   1.4,   0.1676,   1.4,     2.8,  ,                           
04386-0921, TOK 387         ,HIP 21625   ,  69.6424,  -9.3433, 2019.6191 , y  2,     40.4,   1.5,   0.0293,   1.5,     0.0, :,                           
04386-0921, TOK 387         ,HIP 21625   ,  69.6424,  -9.3432, 2019.8571 , y  2,     32.7,   0.4,   0.0374,   0.4,     0.2,  ,                           
04386-0921, TOK 387         ,HIP 21625   ,  69.6424,  -9.3430, 2019.9498 , y  2,    208.3,   0.4,   0.0379,   0.4,     0.4,  ,                           
04389-1207, HDS 599         ,HIP 21644   ,  69.7229, -12.1232, 2019.6191 , I  2,    236.7,   0.9,   0.1235,   0.9,     1.6,  ,      0.1    0.002 SOAR2019
04389-1207, HDS 599         ,HIP 21644   ,  69.7229, -12.1232, 2019.6191 , y  2,    236.8,   0.2,   0.1209,   0.2,     2.0,  ,      0.2   -0.001 SOAR2019
04397+0952, HDS 601 AaAb   ,HIP 21710   ,  69.9275,   9.8708, 2019.8569 , I  2,    307.9,   1.1,   0.5370,   1.1,     2.5, q,     -0.2    0.006 Tok2017c
04400-3105, HDS 602         ,HIP 21733   ,  70.0053, -31.0757, 2019.6136 , I  2,    190.0,   0.4,   0.1936,   0.4,     0.2,  ,      0.5   -0.002 Tok2019c
04404+1631, CHR 154         ,HIP 21762   ,  70.1065,  16.5136, 2019.7914 , I  2,    174.2,   0.2,   0.4390,   0.2,     1.4, q,      0.9   -0.020 Tok2017c
04406-0912, WOR 17          ,HIP 21765   ,  70.1214,  -9.1968, 2019.6191 , I  2,    192.4,   1.3,   1.9103,   1.3,     0.6, ast,      0.1    0.008 SOAR2019
04409-4230, HDS 603         ,HIP 21794   ,  70.2337, -42.5010, 2019.6138 , I  2,    243.4,   0.3,   0.0771,   0.3,     0.9, q,                           
04424-0056, HDS 606         ,HIP 21894   ,  70.5941,  -0.9301, 2019.9497 , I  2,    230.8,   0.1,   0.4134,   0.1,     2.2,  ,                           
04429-4519, HDS 608         ,HIP 21930   ,  70.7300, -45.3158, 2019.9500 , I  2,     37.6,   0.6,   0.4602,   0.6,     3.7, q,                           
04460-6605, HDS 613         ,HIP 22150   ,  71.4964, -66.0786, 2019.9496 , I  2,    235.6,   0.1,   0.2401,   0.1,     0.2,  ,                           
04468+1744, PAT 15 AaAb    ,HIP 22224   ,  71.7065,  17.7482, 2019.7914 , I  2,    229.7,   0.9,   0.3225,   0.9,     2.6, q,                           
04469-1117, JNN 28          , RBS 584     ,  71.7148, -11.2802, 2019.6191 , I  3,    287.3,   1.4,   1.5458,   1.4,     1.1, ast,                           
04492-3126, HDS 620         ,HIP 22395   ,  72.3060, -31.4267, 2019.9523 , I  2,     37.3,   0.7,   0.3341,   0.7,     2.7, q,      1.6    0.013 Tok2017c
04492-4223, HDS 621 BC      ,HIP 22411   ,  72.3350, -42.4137, 2019.1336 , I  2,    211.2,   0.7,   0.0968,   0.7,     2.3, q,                           
04492-4223, HDS 621 BC      ,HIP 22411   ,  72.3350, -42.4137, 2019.6138 , I  2,    210.1,   1.2,   0.0883,   1.2,     2.2, q,                           
04501-1548, HDS 622         ,HIP 22467   ,  72.5283, -15.8043, 2019.1335 , I  3,    168.1,   1.1,   1.1217,   1.1,     4.8, ast,                           
04506+1505, CHR 20          ,HIP 22505   ,  72.6411,  15.0835, 2019.7914 , y  2,    127.0,   0.2,   0.0882,   0.2,     0.1,  ,     -0.1    0.000 Doc2018h
04507-8202, HDS 625         ,HIP 22518   ,  72.6824, -82.0328, 2019.7914 , I  2,    306.0,   0.8,   0.0694,   0.8,     1.2,  ,                           
04512+1104, BU 883 AB       ,HIP 22550   ,  72.8026,  11.0680, 2019.8569 , y  2,    339.9,   0.1,   0.1218,   0.1,     0.2,  ,      0.6   -0.001 Sod1999 
04515-3454, FIN 320         ,HIP 22573   ,  72.8671, -34.9058, 2019.6191 , I  2,     83.2,   0.3,   0.1476,   0.3,     0.4,  ,     -1.0   -0.000 Tok2015c
04518+1339, BU 552 AB       ,HIP 22607   ,  72.9586,  13.6551, 2019.7914 , I  2,    273.8,   0.2,   0.8473,   0.2,     1.9, ast,      0.5    0.008 Tok2019c
04518+1339, BU 552 AB       ,HIP 22607   ,  72.9586,  13.6552, 2019.8569 , I  2,    274.4,   0.2,   0.8470,   0.2,     2.4, ast,      1.0    0.006 Tok2019c
04518+1339, BU 552 AB       ,HIP 22607   ,  72.9586,  13.6551, 2019.9471 , I  2,    274.4,   0.7,   0.8438,   0.7,     1.8, ast,      0.9    0.002 Tok2019c
04523-3619, HDS 630         ,HIP 22641   ,  73.0659, -36.3251, 2019.8594 , I  2,    108.8,   0.1,   0.1515,   0.1,     0.1,  ,                           
04539-2032, HDS 633         ,HIP 22772   ,  73.4815, -20.5389, 2019.1336 , I  2,    132.7,   0.1,   0.0924,   0.1,     0.0,  ,     -0.7    0.000 SOAR2019
04539-2032, HDS 633         ,HIP 22772   ,  73.4812, -20.5376, 2019.6191 , I  2,    139.5,   1.0,   0.1259,   1.0,     0.0, :,      0.3   -0.001 SOAR2019
04539-2032, HDS 633         ,HIP 22772   ,  73.4814, -20.5380, 2019.9497 , I  2,    141.3,   0.2,   0.1464,   0.2,     0.1,  ,     -0.5   -0.000 SOAR2019
04545-0314, RST5501         ,HIP 22812   ,  73.6168,  -3.2262, 2019.9497 , I  2,    155.4,   0.0,   0.1402,   0.0,     0.2,  ,      0.6   -0.001 Tok2015c
04553-0352, RST4257 AB      , HD 31375    ,  73.8188,  -3.8657, 2019.6191 , I  2,     58.3,   0.6,   0.0940,   0.6,     0.0, :,      0.3   -0.002 SOAR2019
04553-1625, HDS 635         ,HIP 22881   ,  73.8277, -16.4176, 2019.6191 , I  2,    275.1,   1.2,   0.4162,   1.2,     3.8,  ,                           
04559+0440, EGN 4 AaAb     ,HIP 22919   ,  73.9833,   4.6699, 2019.7913 , I  2,     17.7,   7.8,   0.4425,   7.8,     5.0,  ,                           
04559-3052, HDS 637         ,HIP 22921   ,  73.9865, -30.8595, 2019.6191 , I  4,    356.5,   1.7,   0.1443,   1.7,     0.0, :,      0.3   -0.005 Tok2017c
04570-4642, HDS 642         ,HIP 23017   ,  74.2506, -46.7035, 2019.8594 , I  3,    256.4,   0.1,   0.1877,   0.1,     1.7, q,                           
04571-1338, A 2625          , HD 31656    ,  74.2701, -13.6342, 2019.6191 , I  2,    166.5,   0.9,   0.0560,   0.9,     0.0, :,                           
04584-0344, HDS 644         ,HIP 23116   ,  74.6090,  -3.7330, 2019.1334 , y  2,    173.3,   0.8,   0.6742,   0.8,     2.6, ast,      0.2    0.002 Tok2019d
04584-0344, HDS 644         ,HIP 23116   ,  74.6090,  -3.7330, 2019.1992 , I  2,    173.5,   0.8,   0.6728,   0.8,     2.3, ast,      0.3   -0.000 Tok2019d
04584-0344, HDS 644         ,HIP 23116   ,  74.6094,  -3.7328, 2019.6191 , I  2,    174.1,   0.4,   0.6891,   0.4,     2.5, q,      0.1    0.012 Tok2019d
04584-0344, HDS 644         ,HIP 23116   ,  74.6095,  -3.7326, 2019.9497 , I  2,    174.6,   0.4,   0.6827,   0.4,     2.4, ast,      0.0    0.003 Tok2019d
04590+1341, HDS 645         ,HIP 23162   ,  74.7495,  13.6906, 2019.9471 , I  2,    156.5,   0.1,   0.2097,   0.1,     0.0,  ,                           
04590-1623, BU 314 AB       ,HIP 23166   ,  74.7555, -16.3758, 2019.1336 , I  2,    317.1,   0.1,   0.7627,   0.1,     1.4, ast,     -0.0   -0.016 Doc2019e
04590-1623, BU 314 AB       ,HIP 23166   ,  74.7555, -16.3758, 2019.1991 , I  2,    317.2,   0.1,   0.7625,   0.1,     1.7, q,      0.1   -0.016 Doc2019e
04590-1623, BU 314 AB       ,HIP 23166   ,  74.7552, -16.3752, 2019.6191 , I  2,    317.2,   0.2,   0.7634,   0.2,     1.8, q,      0.3   -0.009 Doc2019e
04590-1623, BU 314 AB       ,HIP 23166   ,  74.7553, -16.3755, 2019.9524 , I  2,    316.7,   0.1,   0.7484,   0.1,     1.6, ast,     -0.1   -0.018 Doc2019e
05013-2646, B 77            , HD 32338    ,  75.3304, -26.7605, 2019.6191 , I  2,    143.8,   0.7,   0.5879,   0.7,     1.2, :,                           
05019-7638, RST2368         ,HIP 23413   ,  75.4847, -76.6281, 2019.2044 , I  2,    154.1,   1.2,   0.8255,   1.2,     2.7, q,                           
05019-7638, RST2368         ,HIP 23413   ,  75.4840, -76.6289, 2019.7914 , I  2,    154.2,   1.6,   0.8233,   1.6,     2.4, ast,                           
05019-7638, RST2368         ,HIP 23413   ,  75.4840, -76.6289, 2019.9469 , y  2,    154.5,   0.8,   0.8292,   0.8,     2.5, ast,                           
05020+0959, HDS 654         ,HIP 23418   ,  75.4954,   9.9824, 2019.8569 , I  2,    143.6,   0.2,   1.4293,   0.2,     0.9, ast,                           
05025-2115, DON 91 AB       ,HIP 23452   ,  75.6178, -21.2584, 2019.9497 , I  2,      0.6,   0.1,   0.9787,   0.1,     1.6, ast,      0.6    0.026 Tok2015c
05033-2315, BEU 7           ,HIP 23516   ,  75.8423, -23.2492, 2019.6191 , I  2,    271.4,   2.9,   0.3026,   2.9,     2.3, :,                           
05048+1319, HEI 104         ,HIP 23629   ,  76.2044,  13.3087, 2019.7914 , I  2,    191.3,   0.6,   0.0618,   0.6,     1.0,  ,     -0.0   -0.002 Tok2019c
05066-7734, TOK 785         ,HIP 23776   ,  76.6471, -77.5665, 2019.0489 , y  2,    111.2,   0.4,   0.0602,   0.4,     0.5,  ,      0.3   -0.001 SOAR2019
05066-7734, TOK 785         ,HIP 23776   ,  76.6471, -77.5665, 2019.7914 , I  2,    246.9,   0.3,   0.0317,   0.3,     0.3,  ,      2.7    0.000 SOAR2019
05066-7734, TOK 785         ,HIP 23776   ,  76.6471, -77.5665, 2019.9469 , y  4,    269.8,   0.5,   0.0425,   0.5,     0.4,  ,     -1.0    0.001 SOAR2019
05067+1405, HEI 105         ,HIP 23789   ,  76.6791,  14.0840, 2019.9471 , I  2,    128.7,   0.2,   0.8514,   0.2,     2.7, ast,                           
05069-2135, DON 93 BC       ,BD-21 1074B ,  76.7067, -21.5847, 2019.8595 , I  2,     98.4,   0.1,   1.0803,   0.1,     0.7, ast,      0.0    0.000 SOAR2019
05072-1924, FIN 376         ,HIP 23818   ,  76.7905, -19.3910, 2019.6191 , y  2,    232.7,   0.2,   0.0693,   0.2,     0.5,  ,      1.9    0.002 Tok2014a
05072-1924, FIN 376         ,HIP 23818   ,  76.7905, -19.3910, 2019.8595 , y  2,    231.0,   0.2,   0.0930,   0.2,     0.7, q,      0.7    0.000 Tok2014a
05073-8352, HDS 669         ,HIP 23824   ,  76.8293, -83.8594, 2019.9469 , I  2,    201.1,   0.1,   0.2904,   0.1,     2.3, q,      0.2    0.001 Tok2016c
05079+0830, STT 98          ,HIP 23879   ,  76.9704,   8.4984, 2019.0489 , y  2,    284.3,   1.7,   0.9698,   1.7,     1.1, ast,     -0.1   -0.005 Sca2008d
05079+0830, STT 98          ,HIP 23879   ,  76.9705,   8.4984, 2019.8569 , y  2,    283.1,   0.5,   0.9788,   0.5,     1.0, ast,     -0.1   -0.004 Sca2008d
05079+0830, STT 98          ,HIP 23879   ,  76.9705,   8.4983, 2019.9471 , I  2,    283.0,   0.1,   0.9791,   0.1,     0.9, ast,     -0.0   -0.004 Sca2008d
05086-1810, WSI 72          ,HIP 23932   ,  77.1489, -18.1797, 2019.8595 , I  2,     28.3,   1.3,   0.0307,   1.3,     0.0,  ,      0.9    0.003 Tok2017b
05086-1810, WSI 72          ,HIP 23932   ,  77.1493, -18.1802, 2019.9524 , I  2,    226.8,   0.1,   0.0342,   0.1,     0.0,  ,      0.2   -0.004 Tok2017b
05091-4201, HDS 676         ,HIP 23968   ,  77.2814, -42.0188, 2019.6138 , I  2,     35.9,   0.1,   0.0591,   0.1,     0.2,  ,    -12.3    0.015 Tok2017c
05101-2341, WSI 121 AaAb   ,             ,  77.5180, -23.6783, 2019.9497 , I  2,    156.4,   0.5,   0.3957,   0.5,     0.6, q,                           
05101-2341, WSI 121 BC      ,             ,  77.5206, -23.6712, 2019.9497 , I  2,    306.1,   0.1,   1.7940,   0.1,     0.5, ast,                           
05102+2208, HDS 683         ,HIP 24063   ,  77.5539,  22.1367, 2019.9471 , y  2,    323.4,   0.1,   0.0481,   0.1,     0.0,  ,                           
05102-7236, WSI 122         , HD 271076   ,  77.5426, -72.6077, 2019.9469 , I  2,    229.6,   0.0,   0.5859,   0.0,     0.3, ast,                           
05103-0736, A 484           ,HIP 24076   ,  77.5863,  -7.5937, 2019.0489 , y  2,    138.5,   0.8,   0.0182,   0.8,     0.0,  ,      2.0   -0.001 Tok2019c
05103-0736, A 484           ,HIP 24076   ,  77.5863,  -7.5937, 2019.1334 , y  3,    123.8,   0.7,   0.0253,   0.7,     0.0,  ,      0.2   -0.002 Tok2019c
05103-0736, A 484           ,HIP 24076   ,  77.5859,  -7.5947, 2019.6191 , y  3,     98.5,   0.6,   0.0456,   0.6,     0.0, :,      0.1   -0.001 Tok2019c
05103-0736, A 484           ,HIP 24076   ,  77.5859,  -7.5951, 2019.9497 , y  2,     85.5,   0.1,   0.0436,   0.1,     0.0,  ,     -0.5   -0.002 Tok2019c
05136+0413, HDS 692         ,HIP 24363   ,  78.4079,   4.2112, 2019.7913 , I  2,     67.1,   0.5,   0.0937,   0.5,     1.3,  ,                           
05162-1121, CHR 225         ,HIP 24560   ,  79.0441, -11.3528, 2019.8571 , y  2,    224.5,   0.9,   0.0348,   0.9,     1.0,  ,      2.8   -0.010 Doc2014h
05163-5117, HDS 694         ,HIP 24572   ,  79.0647, -51.2794, 2019.8594 , y  2,     16.8,   1.1,   0.4498,   1.1,     2.7, q,                           
05164-0139, A 844           ,HIP 24580   ,  79.1026,  -1.6420, 2019.7914 , I  2,    217.2,   0.1,   0.2108,   0.1,     0.6, q,     -3.0    0.026 Tok2014a
05165-2106, DON 97          ,HIP 24592   ,  79.1273, -21.1000, 2019.9497 , I  2,    189.7,   0.1,   0.4559,   0.1,     1.4, q,      0.7   -0.000 Tok2014a
05174-3522, TSN 1           , CD-35 2213  ,  79.3455, -35.3651, 2019.6138 , I  2,    154.5,   0.4,   0.0454,   0.4,     0.7,  ,                           
05185-3002, ELP 13          , CD-30 2310  ,  79.6214, -30.0257, 2019.8594 , I  2,     80.3,   0.9,   0.6826,   0.9,     3.1, ast,                           
05190-2159, RST2375         ,HIP 24800   ,  79.7545, -21.9848, 2019.9497 , I  2,     83.7,   0.2,   0.1406,   0.2,     0.8, q,      0.3    0.000 SOAR2019
05196-0942, HDS 700         ,HIP 24844   ,  79.8932,  -9.7008, 2019.0489 , y  2,    100.8,   5.2,   0.0231,   5.2,     0.4,  ,                           
05196-0942, HDS 700         ,HIP 24844   ,  79.8932,  -9.7008, 2019.9497 , y  2,    115.1,   1.6,   0.0306,   1.6,     1.6,  ,                           
05204-0001, CVSO 7          ,             ,  80.1078,  -0.0303, 2019.9471 , I  2,    204.7,   4.6,   0.1714,   4.6,     1.6, q,                           
05204-3237, JSP 73          ,HIP 24912   ,  80.0893, -32.6195, 2019.9523 , I  2,    161.5,   0.4,   0.8751,   0.4,     1.7, ast,                           
05216+1020, HDS 704         ,HIP 25033   ,  80.4122,  10.3271, 2019.9471 , I  2,    328.9,   0.3,   0.3806,   0.3,     1.2, q,                           
05222-3218,HIP 25085       ,HIP 25085   ,  80.5547, -32.3074, 2019.9497 , I  2,    352.4,   2.3,   0.0733,   2.3,     2.6, q,                           
05245-0224, DA 5 AaB       ,HIP 25281   ,  81.1193,  -2.3972, 2019.7914 , y  2,     77.3,   0.4,   1.8463,   0.4,     2.9,  ,                           
05245-0224, MCA 18 AaAb    ,HIP 25281   ,  81.1193,  -2.3972, 2019.7914 , y  2,    138.3,   0.7,   0.0286,   0.7,     1.9,  ,      1.4    0.003 SOAR2019
05248-5219, I 345 AB        ,HIP 25303   ,  81.1928, -52.3163, 2019.9470 , I  2,    200.8,   0.0,   0.3455,   0.0,     0.7, q,     -1.6    0.001 Ary2010 
05249-5810, I 390           ,HIP 25313   ,  81.2129, -58.1691, 2019.9496 , I  2,     41.1,   0.1,   0.1455,   0.1,     0.2,  ,                           
05257-0909, DAE 2           , LP 717-36   ,  81.4240,  -9.1547, 2019.8571 , I  2,     33.9,   0.1,   0.7234,   0.1,     0.5, ast,                           
05272+1758, MCA 19 AaAb    ,HIP 25499   ,  81.7921,  17.9622, 2019.8569 , y  2,     96.7,   0.1,   0.0791,   0.1,     1.1,  ,     -0.2   -0.001 SOAR2019
05272+1758, MCA 19 AaAb    ,HIP 25499   ,  81.7919,  17.9622, 2019.9471 , y  2,     96.8,   0.2,   0.0807,   0.2,     1.1, q,      0.2   -0.001 SOAR2019
05275-7723, HDS 719         ,HIP 25526   ,  81.8762, -77.3819, 2019.7914 , I  2,    195.5,   0.3,   0.0822,   0.3,     0.4,  ,                           
05276-2055, SEE 53          ,HIP 25531   ,  81.9015, -20.9161, 2019.9497 , I  2,    116.4,   0.1,   0.2551,   0.1,     0.7, q,      2.4    0.011 Hrt2010a
05278-2848, LSC 37 AaAb    ,HIP 25559   ,  81.9410, -28.7996, 2019.0488 , I  2,    142.0,   1.3,   0.1521,   1.3,     2.3, q,                           
05278-2848, LSC 37 AaAb    ,HIP 25559   ,  81.9410, -28.7996, 2019.0488 , I  1,    137.1,   0.0,   0.1194,   0.0,     3.1, :,                           
05278-2848, RSS 83 AaB     ,HIP 25559   ,  81.9410, -28.7996, 2019.0488 , I  1,    164.6,   0.0,   4.6882,   0.0,     7.5, :,                           
05286-4548, HDS 723         ,HIP 25641   ,  82.1569, -45.8014, 2019.0490 , y  2,    222.9,   0.8,   0.0248,   0.8,     0.0,  ,                           
05286-4548, HDS 723         ,HIP 25641   ,  82.1569, -45.8014, 2019.1335 , y  3,    223.4,   0.4,   0.0257,   0.4,     0.0,  ,                           
05286-4548, HDS 723         ,HIP 25641   ,  82.1571, -45.8011, 2019.8594 , y  2,    215.3,   1.3,   0.0355,   1.3,     0.0,  ,                           
